Points For,Points Against,Strength of Schedule,Yards Per Play,Turnovers,Yards From Penalties,Offensive Rating,Defensive Rating,Location
3.75,1.125,-0.6000000000000001,0.09999999999999964,0.0625,-8.1875,3.3000000000000003,-1.2999999999999998,-1.0
-3.9375,-0.6875,-2.2,0.0,0.1875,2.375,-5.0,-0.5,1.0
1.6875,0.5625,-0.5,0.2999999999999998,0.25,6.625,1.7000000000000002,-1.1,1.0
1.375,-1.6875,1.0,0.20000000000000018,0.25,31.0,1.9000000000000001,2.2,-1.0
-0.625,5.6875,0.8,0.39999999999999947,0.8125,13.0,0.30000000000000004,-5.9,-1.0
1.875,-0.375,1.6,0.7000000000000002,-0.125,13.8125,3.0,0.8,1.0
7.1875,-3.25,2.8,1.2000000000000002,-0.5,-1.1875,9.0,4.3,-1.0
-0.9375,-2.125,1.5,0.20000000000000018,0.125,12.9375,-0.5,3.2,1.0
-2.5,-0.8125,0.7000000000000001,-0.40000000000000036,0.25,13.0,-2.1999999999999997,1.2,-1.0
1.0625,1.0,3.4,0.20000000000000018,0.75,7.25,2.9000000000000004,0.6,1.0
-0.0625,-2.625,1.3,0.0,0.125,14.0,1.0,2.9,-1.0
3.625,-0.5,-0.5,0.7999999999999998,0.375,17.9375,3.7,-0.10000000000000009,-1.0
-5.4375,2.5625,0.40000000000000013,-0.5,0.6875,22.75,-5.1,-2.5,1.0
1.6875,0.5625,-0.5,0.2999999999999998,0.25,6.625,1.7000000000000002,-1.1,-1.0
-0.625,5.6875,0.8,0.39999999999999947,0.8125,13.0,0.30000000000000004,-5.9,1.0
-3.6875,0.3125,1.5,0.09999999999999964,0.0,13.75,-2.3,-0.19999999999999996,1.0
-0.9375,-2.125,1.5,0.20000000000000018,0.125,12.9375,-0.5,3.2,-1.0
-2.5,-0.8125,0.7000000000000001,-0.40000000000000036,0.25,13.0,-2.1999999999999997,1.2,1.0
4.5625,-5.0,-0.7,0.0,0.625,-11.1875,4.300000000000001,4.6000000000000005,-1.0
-3.6875,-0.1875,-0.29999999999999993,-0.5,0.25,-3.0,-3.5,-0.29999999999999993,1.0
3.6875,-2.0,-1.1,-0.5,0.4375,-10.9375,3.1,1.5,1.0
-0.0625,-3.125,-0.49999999999999994,-0.5999999999999996,0.375,-2.75,-0.2,2.8,-1.0
